,raw_price,raw_volume,proc_price,proc_volume
2015-11-22 00:00:00+00:00,93.0,,281.0,
2015-11-23 00:00:00+00:00,98.0,,292.0,
2015-11-24 00:00:00+00:00,103.0,,295.0,
2015-11-25 00:00:00+00:00,109.0,,299.0,
2015-11-26 00:00:00+00:00,115.0,,309.0,
2015-11-27 00:00:00+00:00,121.0,,321.0,
2015-11-28 00:00:00+00:00,128.0,,332.0,
2015-11-29 00:00:00+00:00,135.0,,340.0,
2015-11-30 00:00:00+00:00,142.0,,355.0,
2015-12-01 00:00:00+00:00,150.0,,356.0,
2015-12-02 00:00:00+00:00,158.0,,361.0,
2015-12-03 00:00:00+00:00,166.0,,366.0,
2015-12-04 00:00:00+00:00,175.0,,370.0,
2015-12-05 00:00:00+00:00,183.0,,383.0,
2015-12-06 00:00:00+00:00,188.0,,385.0,
2015-12-07 00:00:00+00:00,184.0,,392.0,
2015-12-08 00:00:00+00:00,182.0,,384.0,
2015-12-09 00:00:00+00:00,180.0,,373.0,
2015-12-10 00:00:00+00:00,181.0,,373.0,
2015-12-11 00:00:00+00:00,178.0,,358.0,
2015-12-12 00:00:00+00:00,178.0,,347.0,
2015-12-13 00:00:00+00:00,177.0,,337.0,
2015-12-14 00:00:00+00:00,174.0,,327.0,
2015-12-15 00:00:00+00:00,169.0,,318.0,
2015-12-16 00:00:00+00:00,160.0,,310.0,
2015-12-17 00:00:00+00:00,152.0,,322.0,
2015-12-18 00:00:00+00:00,144.0,,319.0,
2015-12-19 00:00:00+00:00,138.0,,305.0,
2015-12-20 00:00:00+00:00,138.0,,291.0,
2015-12-21 00:00:00+00:00,139.0,,285.0,
2015-12-22 00:00:00+00:00,143.0,,300.0,
2015-12-23 00:00:00+00:00,151.0,,313.0,
2015-12-24 00:00:00+00:00,158.0,,322.0,
2015-12-25 00:00:00+00:00,160.0,,335.0,
2015-12-26 00:00:00+00:00,164.0,,348.0,
2015-12-27 00:00:00+00:00,171.0,,358.0,
2015-12-28 00:00:00+00:00,167.0,,357.0,
2015-12-29 00:00:00+00:00,164.0,,342.0,
2015-12-30 00:00:00+00:00,161.0,,324.0,
2015-12-31 00:00:00+00:00,155.0,,324.0,
2016-01-01 00:00:00+00:00,152.0,,293.0,
2016-01-02 00:00:00+00:00,146.0,,296.0,
2016-01-03 00:00:00+00:00,143.0,,288.0,
2016-01-04 00:00:00+00:00,137.0,,296.0,
2016-01-05 00:00:00+00:00,136.0,,303.0,
2016-01-06 00:00:00+00:00,131.0,,300.0,
2016-01-07 00:00:00+00:00,126.0,,296.0,
2016-01-08 00:00:00+00:00,119.0,,285.0,
2016-01-09 00:00:00+00:00,117.0,,277.0,
2016-01-10 00:00:00+00:00,118.0,,284.0,
2016-01-11 00:00:00+00:00,119.0,,293.0,
2016-01-12 00:00:00+00:00,120.0,,291.0,
2016-01-13 00:00:00+00:00,124.0,,293.0,
2016-01-14 00:00:00+00:00,129.0,,292.0,
2016-01-15 00:00:00+00:00,135.0,,279.0,
2016-01-16 00:00:00+00:00,142.0,,281.0,
2016-01-17 00:00:00+00:00,150.0,,288.0,
2016-01-18 00:00:00+00:00,158.0,,292.0,
2016-01-19 00:00:00+00:00,159.0,,299.0,
2016-01-20 00:00:00+00:00,164.0,,299.0,
2016-01-21 00:00:00+00:00,166.0,,305.0,
2016-01-22 00:00:00+00:00,169.0,,314.0,
2016-01-23 00:00:00+00:00,178.0,,312.0,
2016-01-24 00:00:00+00:00,186.0,,319.0,
2016-01-25 00:00:00+00:00,196.0,,330.0,
2016-01-26 00:00:00+00:00,205.0,,345.0,
2016-01-27 00:00:00+00:00,216.0,,363.0,
2016-01-28 00:00:00+00:00,222.0,,373.0,
2016-01-29 00:00:00+00:00,211.0,,369.0,
2016-01-30 00:00:00+00:00,212.0,,373.0,
2016-01-31 00:00:00+00:00,223.0,,389.0,
2016-02-01 00:00:00+00:00,229.0,,389.0,
2016-02-02 00:00:00+00:00,226.0,,376.0,
2016-02-03 00:00:00+00:00,227.0,,374.0,
2016-02-04 00:00:00+00:00,223.0,,384.0,
2016-02-05 00:00:00+00:00,211.0,,389.0,
2016-02-06 00:00:00+00:00,202.0,,374.0,
2016-02-07 00:00:00+00:00,194.0,,360.0,
2016-02-08 00:00:00+00:00,189.0,,362.0,
2016-02-09 00:00:00+00:00,179.0,,368.0,
2016-02-10 00:00:00+00:00,170.0,,372.0,
2016-02-11 00:00:00+00:00,161.0,,372.0,
2016-02-12 00:00:00+00:00,154.0,,355.0,
2016-02-13 00:00:00+00:00,154.0,,348.0,
2016-02-14 00:00:00+00:00,152.0,,338.0,
2016-02-15 00:00:00+00:00,155.0,,338.0,
2016-02-16 00:00:00+00:00,161.0,,325.0,
2016-02-17 00:00:00+00:00,170.0,,323.0,
2016-02-18 00:00:00+00:00,178.0,,337.0,
2016-02-19 00:00:00+00:00,175.0,,344.0,
2016-02-20 00:00:00+00:00,182.0,,335.0,
2016-02-21 00:00:00+00:00,191.0,,333.0,
2016-02-22 00:00:00+00:00,200.0,,342.0,
2016-02-23 00:00:00+00:00,210.0,,359.0,
2016-02-24 00:00:00+00:00,206.0,,371.0,
2016-02-25 00:00:00+00:00,195.0,,375.0,
2016-02-26 00:00:00+00:00,185.0,,370.0,
2016-02-27 00:00:00+00:00,185.0,,364.0,
2016-02-28 00:00:00+00:00,176.0,,354.0,
2016-02-29 00:00:00+00:00,171.0,,346.0,
2016-03-01 00:00:00+00:00,162.0,,342.0,
2016-03-02 00:00:00+00:00,158.0,,341.0,
2016-03-03 00:00:00+00:00,158.0,,359.0,
2016-03-04 00:00:00+00:00,154.0,,374.0,
2016-03-05 00:00:00+00:00,154.0,,389.0,
2016-03-06 00:00:00+00:00,153.0,,378.0,
2016-03-07 00:00:00+00:00,154.0,,375.0,
2016-03-08 00:00:00+00:00,156.0,,380.0,
2016-03-09 00:00:00+00:00,154.0,,383.0,
2016-03-10 00:00:00+00:00,153.0,,370.0,
2016-03-11 00:00:00+00:00,151.0,,353.0,
2016-03-12 00:00:00+00:00,153.0,,347.0,
2016-03-13 00:00:00+00:00,153.0,,347.0,
2016-03-14 00:00:00+00:00,150.0,,356.0,
2016-03-15 00:00:00+00:00,144.0,,358.0,
2016-03-16 00:00:00+00:00,139.0,,368.0,
2016-03-17 00:00:00+00:00,137.0,,371.0,
2016-03-18 00:00:00+00:00,139.0,,372.0,
2016-03-19 00:00:00+00:00,145.0,,360.0,
2016-03-20 00:00:00+00:00,149.0,,357.0,
2016-03-21 00:00:00+00:00,150.0,,351.0,
2016-03-22 00:00:00+00:00,149.0,,351.0,
2016-03-23 00:00:00+00:00,147.0,,351.0,
2016-03-24 00:00:00+00:00,148.0,,352.0,
2016-03-25 00:00:00+00:00,151.0,,344.0,
2016-03-26 00:00:00+00:00,155.0,,344.0,
2016-03-27 00:00:00+00:00,149.0,,332.0,
2016-03-28 00:00:00+00:00,143.0,,326.0,
2016-03-29 00:00:00+00:00,135.0,,321.0,
2016-03-30 00:00:00+00:00,135.0,,310.0,
2016-03-31 00:00:00+00:00,135.0,,299.0,
2016-04-01 00:00:00+00:00,137.0,,304.0,
2016-04-02 00:00:00+00:00,143.0,,296.0,
2016-04-03 00:00:00+00:00,140.0,,294.0,
2016-04-04 00:00:00+00:00,133.0,,300.0,
2016-04-05 00:00:00+00:00,127.0,,314.0,
2016-04-06 00:00:00+00:00,129.0,,322.0,
2016-04-07 00:00:00+00:00,131.0,,321.0,
2016-04-08 00:00:00+00:00,133.0,,325.0,
2016-04-09 00:00:00+00:00,136.0,,312.0,
2016-04-10 00:00:00+00:00,137.0,,323.0,
2016-04-11 00:00:00+00:00,138.0,,338.0,
2016-04-12 00:00:00+00:00,135.0,,346.0,
2016-04-13 00:00:00+00:00,137.0,,349.0,
2016-04-14 00:00:00+00:00,138.0,,348.0,
2016-04-15 00:00:00+00:00,142.0,,336.0,
2016-04-16 00:00:00+00:00,147.0,,331.0,
2016-04-17 00:00:00+00:00,148.0,,342.0,
2016-04-18 00:00:00+00:00,147.0,,351.0,
2016-04-19 00:00:00+00:00,140.0,,355.0,
2016-04-20 00:00:00+00:00,138.0,,343.0,
2016-04-21 00:00:00+00:00,137.0,,344.0,
2016-04-22 00:00:00+00:00,139.0,,339.0,
2016-04-23 00:00:00+00:00,146.0,,333.0,
2016-04-24 00:00:00+00:00,148.0,,332.0,
2016-04-25 00:00:00+00:00,148.0,,342.0,
2016-04-26 00:00:00+00:00,140.0,,345.0,
2016-04-27 00:00:00+00:00,134.0,,343.0,
2016-04-28 00:00:00+00:00,132.0,,332.0,
2016-04-29 00:00:00+00:00,132.0,,321.0,
2016-04-30 00:00:00+00:00,133.0,,320.0,
2016-05-01 00:00:00+00:00,132.0,,329.0,
2016-05-02 00:00:00+00:00,132.0,,334.0,
2016-05-03 00:00:00+00:00,131.0,,326.0,
2016-05-04 00:00:00+00:00,134.0,,325.0,
2016-05-05 00:00:00+00:00,133.0,,322.0,
2016-05-06 00:00:00+00:00,134.0,,313.0,
2016-05-07 00:00:00+00:00,139.0,,300.0,
2016-05-08 00:00:00+00:00,136.0,,292.0,
2016-05-09 00:00:00+00:00,130.0,,297.0,
2016-05-10 00:00:00+00:00,124.0,,311.0,
2016-05-11 00:00:00+00:00,127.0,,322.0,
2016-05-12 00:00:00+00:00,132.0,,333.0,
2016-05-13 00:00:00+00:00,132.0,,349.0,
2016-05-14 00:00:00+00:00,133.0,,336.0,
2016-05-15 00:00:00+00:00,136.0,,319.0,
2016-05-16 00:00:00+00:00,137.0,,310.0,
2016-05-17 00:00:00+00:00,131.0,,307.0,
2016-05-18 00:00:00+00:00,127.0,,303.0,
2016-05-19 00:00:00+00:00,127.0,,300.0,
2016-05-20 00:00:00+00:00,128.0,,314.0,
2016-05-21 00:00:00+00:00,128.0,,314.0,
2016-05-22 00:00:00+00:00,128.0,,314.0,
2016-05-23 00:00:00+00:00,140.0,,344.0,
2016-05-24 00:00:00+00:00,137.0,,340.0,
2016-05-25 00:00:00+00:00,138.0,,341.0,
2016-05-26 00:00:00+00:00,142.0,,343.0,
2016-05-27 00:00:00+00:00,148.0,,347.0,
2016-05-28 00:00:00+00:00,153.0,,341.0,
2016-05-29 00:00:00+00:00,159.0,,336.0,
2016-05-30 00:00:00+00:00,153.0,,332.0,
2016-05-31 00:00:00+00:00,152.0,,340.0,
2016-06-01 00:00:00+00:00,148.0,,346.0,
2016-06-02 00:00:00+00:00,148.0,,332.0,
2016-06-03 00:00:00+00:00,148.0,,327.0,
2016-06-04 00:00:00+00:00,152.0,,317.0,
2016-06-05 00:00:00+00:00,153.0,,316.0,
2016-06-06 00:00:00+00:00,160.0,,315.0,
2016-06-07 00:00:00+00:00,155.0,,318.0,
2016-06-08 00:00:00+00:00,149.0,,318.0,
2016-06-09 00:00:00+00:00,147.0,,318.0,
2016-06-10 00:00:00+00:00,145.0,,320.0,
2016-06-11 00:00:00+00:00,142.0,,321.0,
2016-06-12 00:00:00+00:00,144.0,,323.0,
2016-06-13 00:00:00+00:00,144.0,,323.0,
2016-06-14 00:00:00+00:00,141.0,,322.0,
2016-06-15 00:00:00+00:00,143.0,,318.0,
2016-06-16 00:00:00+00:00,150.0,,316.0,
2016-06-17 00:00:00+00:00,148.0,,321.0,
2016-06-18 00:00:00+00:00,145.0,,319.0,
2016-06-19 00:00:00+00:00,151.0,,320.0,
2016-06-20 00:00:00+00:00,154.0,,322.0,
2016-06-21 00:00:00+00:00,154.0,,321.0,
2016-06-22 00:00:00+00:00,161.0,,318.0,
2016-06-23 00:00:00+00:00,167.0,,320.0,
2016-06-24 00:00:00+00:00,168.0,,319.0,
2016-06-25 00:00:00+00:00,168.0,,312.0,
2016-06-26 00:00:00+00:00,170.0,,314.0,
2016-06-27 00:00:00+00:00,168.0,,314.0,
2016-06-28 00:00:00+00:00,164.0,,320.0,
2016-06-29 00:00:00+00:00,163.0,,319.0,
2016-06-30 00:00:00+00:00,164.0,,317.0,
2016-07-01 00:00:00+00:00,162.0,,321.0,
2016-07-02 00:00:00+00:00,160.0,,317.0,
2016-07-03 00:00:00+00:00,161.0,,315.0,
